----------------------------------------
FILTER METHOD
----------------------------------------

With 20 genes in initial set:
   1. Ccl3:  65 times ( 65.0%)
   2. Cyp51:  47 times ( 47.0%)
   3. Chordc1:  23 times ( 23.0%)
   4. Ifrd1:  23 times ( 23.0%)
   5. Pdgfb:  22 times ( 22.0%)
   6. Stk38l:  22 times ( 22.0%)
   7. Lgals9:  21 times ( 21.0%)
   8. Tubb6:  16 times ( 16.0%)
   9. S100a6:  16 times ( 16.0%)
  10. Foxm1:  13 times ( 13.0%)
  11. Hddc2:  12 times ( 12.0%)
  12. Gm2a:  11 times ( 11.0%)
  13. Sdhd:  10 times ( 10.0%)
  14. Dnmt3l:  10 times ( 10.0%)
  15. Akr1b3:   6 times (  6.0%)
  16. Uhrf1:   6 times (  6.0%)
  17. Ubl3:   6 times (  6.0%)
  18. Eef1e1:   5 times (  5.0%)
  19. Tubb5:   4 times (  4.0%)
  20. Zfp512b:   3 times (  3.0%)

With 30 genes in initial set:
   1. Ccl3:  76 times ( 76.0%)
   2. Cyp51:  56 times ( 56.0%)
   3. Chordc1:  50 times ( 50.0%)
   4. Stk38l:  20 times ( 20.0%)
   5. Pdgfb:  19 times ( 19.0%)
   6. Lgals9:  18 times ( 18.0%)
   7. Ifrd1:  18 times ( 18.0%)
   8. Tubb6:  15 times ( 15.0%)
   9. Fosb:  15 times ( 15.0%)
  10. S100a6:  14 times ( 14.0%)
  11. Rhoc:  10 times ( 10.0%)
  12. Ier3:  10 times ( 10.0%)
  13. Ubl3:   9 times (  9.0%)
  14. Sdhd:   9 times (  9.0%)
  15. Hddc2:   8 times (  8.0%)
  16. Foxm1:   8 times (  8.0%)
  17. Plekha3:   8 times (  8.0%)
  18. Relb:   8 times (  8.0%)
  19. Use1:   6 times (  6.0%)
  20. S100a4:   6 times (  6.0%)

With 50 genes in initial set:
   1. Ccl3:  92 times ( 92.0%)
   2. Hmox1:  78 times ( 78.0%)
   3. Cyp51:  67 times ( 67.0%)
   4. Chordc1:  43 times ( 43.0%)
   5. Fosb:  37 times ( 37.0%)
   6. Pdgfb:  31 times ( 31.0%)
   7. Ifrd1:  18 times ( 18.0%)
   8. S100a6:  12 times ( 12.0%)
   9. Tubb6:   8 times (  8.0%)
  10. Ier3:   8 times (  8.0%)
  11. Zbtb32:   8 times (  8.0%)
  12. Stk38l:   7 times (  7.0%)
  13. Gm2a:   7 times (  7.0%)
  14. Atp5d:   7 times (  7.0%)
  15. Mef2c:   7 times (  7.0%)
  16. Relb:   6 times (  6.0%)
  17. Angptl2:   6 times (  6.0%)
  18. Use1:   6 times (  6.0%)
  19. Gmnn:   5 times (  5.0%)
  20. Foxm1:   5 times (  5.0%)

With 100 genes in initial set:
   1. Ccl3:  94 times ( 94.0%)
   2. Sqstm1:  80 times ( 80.0%)
   3. Sod2:  60 times ( 60.0%)
   4. Hmox1:  41 times ( 41.0%)
   5. Sdc4:  32 times ( 32.0%)
   6. Hspa8:  31 times ( 31.0%)
   7. Odc1:  22 times ( 22.0%)
   8. Chordc1:  20 times ( 20.0%)
   9. Gadd45b:  19 times ( 19.0%)
  10. Cyp51:  14 times ( 14.0%)
  11. Slc3a2:  11 times ( 11.0%)
  12. Fosb:   8 times (  8.0%)
  13. Ubc:   7 times (  7.0%)
  14. Eps8:   5 times (  5.0%)
  15. Rhoc:   4 times (  4.0%)
  16. Dynll1:   4 times (  4.0%)
  17. Zbtb32:   4 times (  4.0%)
  18. Foxm1:   4 times (  4.0%)
  19. Crip1:   4 times (  4.0%)
  20. Mrpl52:   4 times (  4.0%)

With 200 genes in initial set:
   1. Ccl3:  60 times ( 60.0%)
   2. Sqstm1:  60 times ( 60.0%)
   3. Ccl4:  56 times ( 56.0%)
   4. Hsp90aa1:  37 times ( 37.0%)
   5. Sdc4:  30 times ( 30.0%)
   6. Tnfaip2:  28 times ( 28.0%)
   7. Acod1:  26 times ( 26.0%)
   8. Hmox1:  22 times ( 22.0%)
   9. Esd:  21 times ( 21.0%)
  10. Hspa8:  15 times ( 15.0%)
  11. Sod2:  13 times ( 13.0%)
  12. Gadd45b:  11 times ( 11.0%)
  13. Rel:  10 times ( 10.0%)
  14. Odc1:   9 times (  9.0%)
  15. Crip1:   8 times (  8.0%)
  16. Tnip1:   7 times (  7.0%)
  17. Ubc:   6 times (  6.0%)
  18. Txnrd1:   6 times (  6.0%)
  19. 2010111I01Rik:   6 times (  6.0%)
  20. Chordc1:   6 times (  6.0%)

With 500 genes in initial set:
   1. Fas:  35 times ( 35.0%)
   2. Ccl3:  25 times ( 25.0%)
   3. Acod1:  25 times ( 25.0%)
   4. Ccl4:  24 times ( 24.0%)
   5. Cdkn1a:  23 times ( 23.0%)
   6. Abcg1:  21 times ( 21.0%)
   7. Esd:  17 times ( 17.0%)
   8. Hsp90aa1:  16 times ( 16.0%)
   9. Sqstm1:  15 times ( 15.0%)
  10. Pim1:  14 times ( 14.0%)
  11. Traf1:  12 times ( 12.0%)
  12. Tnfaip2:  11 times ( 11.0%)
  13. Cyb5a:  10 times ( 10.0%)
  14. Angpt2:  10 times ( 10.0%)
  15. Hmox1:  10 times ( 10.0%)
  16. Tnf:   9 times (  9.0%)
  17. Dnaja1:   9 times (  9.0%)
  18. Ehd1:   9 times (  9.0%)
  19. Sod2:   8 times (  8.0%)
  20. Rel:   8 times (  8.0%)

----------------------------------------
GRADIENT METHOD
----------------------------------------

With 20 genes in initial set:
   1. Ccl3:  68 times ( 68.0%)
   2. Cyp51:  52 times ( 52.0%)
   3. Pdgfb:  24 times ( 24.0%)
   4. Ifrd1:  24 times ( 24.0%)
   5. Stk38l:  22 times ( 22.0%)
   6. S100a6:  20 times ( 20.0%)
   7. Tubb6:  19 times ( 19.0%)
   8. Chordc1:  19 times ( 19.0%)
   9. Lgals9:  19 times ( 19.0%)
  10. Foxm1:  15 times ( 15.0%)
  11. Gm2a:  11 times ( 11.0%)
  12. Sdhd:  10 times ( 10.0%)
  13. Hddc2:   8 times (  8.0%)
  14. Dnmt3l:   6 times (  6.0%)
  15. Akr1b3:   6 times (  6.0%)
  16. Uhrf1:   6 times (  6.0%)
  17. Eef1e1:   6 times (  6.0%)
  18. S100a4:   4 times (  4.0%)
  19. Ubl3:   4 times (  4.0%)
  20. Bcl6b:   3 times (  3.0%)

With 30 genes in initial set:
   1. Ccl3:  78 times ( 78.0%)
   2. Cyp51:  50 times ( 50.0%)
   3. Chordc1:  44 times ( 44.0%)
   4. Stk38l:  20 times ( 20.0%)
   5. Tubb6:  19 times ( 19.0%)
   6. Lgals9:  17 times ( 17.0%)
   7. Pdgfb:  15 times ( 15.0%)
   8. Fosb:  15 times ( 15.0%)
   9. S100a6:  15 times ( 15.0%)
  10. Ifrd1:  14 times ( 14.0%)
  11. Ier3:  12 times ( 12.0%)
  12. Rhoc:  10 times ( 10.0%)
  13. Relb:  10 times ( 10.0%)
  14. Plekha3:  10 times ( 10.0%)
  15. Use1:   8 times (  8.0%)
  16. Ubl3:   7 times (  7.0%)
  17. Hddc2:   6 times (  6.0%)
  18. Uhrf1:   6 times (  6.0%)
  19. Foxm1:   6 times (  6.0%)
  20. Sdhd:   6 times (  6.0%)

With 50 genes in initial set:
   1. Ccl3:  87 times ( 87.0%)
   2. Hmox1:  71 times ( 71.0%)
   3. Cyp51:  58 times ( 58.0%)
   4. Fosb:  44 times ( 44.0%)
   5. Chordc1:  36 times ( 36.0%)
   6. Pdgfb:  27 times ( 27.0%)
   7. Ifrd1:  19 times ( 19.0%)
   8. S100a6:   9 times (  9.0%)
   9. Tubb6:   9 times (  9.0%)
  10. Stk38l:   8 times (  8.0%)
  11. Relb:   8 times (  8.0%)
  12. Atp5d:   7 times (  7.0%)
  13. Mef2c:   7 times (  7.0%)
  14. Ier3:   7 times (  7.0%)
  15. Angptl2:   7 times (  7.0%)
  16. Zbtb32:   7 times (  7.0%)
  17. Use1:   7 times (  7.0%)
  18. Gmnn:   5 times (  5.0%)
  19. Gm2a:   5 times (  5.0%)
  20. Hdac9:   5 times (  5.0%)

With 100 genes in initial set:
   1. Ccl3:  93 times ( 93.0%)
   2. Sqstm1:  76 times ( 76.0%)
   3. Sod2:  50 times ( 50.0%)
   4. Hmox1:  42 times ( 42.0%)
   5. Sdc4:  30 times ( 30.0%)
   6. Hspa8:  27 times ( 27.0%)
   7. Cyp51:  24 times ( 24.0%)
   8. Chordc1:  20 times ( 20.0%)
   9. Odc1:  19 times ( 19.0%)
  10. Gadd45b:  18 times ( 18.0%)
  11. Fosb:  14 times ( 14.0%)
  12. Slc3a2:  13 times ( 13.0%)
  13. Ubc:   7 times (  7.0%)
  14. Dynll1:   6 times (  6.0%)
  15. Eps8:   5 times (  5.0%)
  16. Mrpl52:   5 times (  5.0%)
  17. Rhoc:   4 times (  4.0%)
  18. Zbtb32:   4 times (  4.0%)
  19. Sulf2:   4 times (  4.0%)
  20. Foxm1:   4 times (  4.0%)

With 200 genes in initial set:
   1. Ccl3:  49 times ( 49.0%)
   2. Sqstm1:  46 times ( 46.0%)
   3. Ccl4:  45 times ( 45.0%)
   4. Hsp90aa1:  32 times ( 32.0%)
   5. Tnfaip2:  25 times ( 25.0%)
   6. Sdc4:  22 times ( 22.0%)
   7. Esd:  21 times ( 21.0%)
   8. Acod1:  20 times ( 20.0%)
   9. Hmox1:  16 times ( 16.0%)
  10. Odc1:  14 times ( 14.0%)
  11. Gadd45b:  11 times ( 11.0%)
  12. Hspa8:  11 times ( 11.0%)
  13. Crip1:   9 times (  9.0%)
  14. Cyp51:   9 times (  9.0%)
  15. Sod2:   8 times (  8.0%)
  16. Ubc:   8 times (  8.0%)
  17. Fosb:   8 times (  8.0%)
  18. Btg2:   6 times (  6.0%)
  19. Fcgr1:   6 times (  6.0%)
  20. Chordc1:   6 times (  6.0%)

With 500 genes in initial set:
   1. Traf1:   3 times (  3.0%)
   2. Cdkn1a:   2 times (  2.0%)
   3. Ehd1:   2 times (  2.0%)
   4. Tnip1:   2 times (  2.0%)
   5. Brd2:   2 times (  2.0%)
   6. Fas:   2 times (  2.0%)
   7. S100a6:   2 times (  2.0%)
   8. Acod1:   2 times (  2.0%)
   9. Abcg1:   2 times (  2.0%)
  10. Clec4e:   2 times (  2.0%)
  11. Crybg1:   1 times (  1.0%)
  12. Hpgds:   1 times (  1.0%)
  13. Alas1:   1 times (  1.0%)
  14. Susd3:   1 times (  1.0%)
  15. Nfkbib:   1 times (  1.0%)
  16. Ccl3:   1 times (  1.0%)
  17. Lmna:   1 times (  1.0%)
  18. Ppp3ca:   1 times (  1.0%)
  19. Ptgs2:   1 times (  1.0%)
  20. Acat2:   1 times (  1.0%)

