method,n_genes,mean_train_acc_full,std_train_acc_full,mean_test_acc_full,std_test_acc_full,mean_train_acc_selected,std_train_acc_selected,mean_test_acc_selected,std_test_acc_selected,mean_n_selected,std_n_selected
filter,20,0.9998245620727539,0.0008594668065688962,0.9187719362974167,0.03974798278147077,0.8597807085514069,0.15567946172627115,0.8291228157281876,0.14546854463405343,3.55,2.854382595238417
filter,30,0.999912281036377,0.0008727926680094426,0.9296491289138794,0.034243807591701564,0.893859658241272,0.1417908584111263,0.8571929883956909,0.1334261037905572,4.15,2.650943228362312
filter,50,1.0,0.0,0.9464912402629853,0.026765174642659435,0.9551754492521286,0.09465880011640326,0.9222807115316392,0.08783343949911676,5.0,2.1213203435596424
filter,100,1.0,0.0,0.9785964995622635,0.01978336968620926,0.986622816324234,0.04740242246311858,0.9585965007543564,0.050392124273491656,5.1,1.2206555615733705
filter,200,1.0,0.0,0.9787719386816025,0.018780118264793217,0.9895175564289093,0.034960815837755746,0.9578947472572327,0.042396655123951216,5.35,2.0316249653910043
filter,500,1.0,0.0,0.9852631640434265,0.01713918546906957,0.9609210628271103,0.08807405185170544,0.9126315879821777,0.09454106204773903,5.5,2.8722813232690143
gradient,20,0.9998245620727539,0.0008594668065688962,0.9187719362974167,0.03974798278147077,0.8679386013746262,0.15060652019156962,0.8377193063497543,0.14281553499511687,3.6,2.65329983228432
gradient,30,0.999912281036377,0.0008727926680094426,0.9296491289138794,0.034243807591701564,0.8982894819974899,0.13628385759810363,0.8587719351053238,0.1290249242261898,4.1,2.3853720883753122
gradient,50,1.0,0.0,0.9464912402629853,0.026765174642659435,0.9367105334997177,0.11334856630824972,0.9028070271015167,0.106669555064175,4.85,2.868361901852693
gradient,100,1.0,0.0,0.9785964995622635,0.01978336968620926,0.9854824668169022,0.047444284328391303,0.961578956246376,0.0512505972761467,5.35,2.372235232855291
gradient,200,1.0,0.0,0.9787719386816025,0.018780118264793217,0.9351315891742706,0.12475475382531816,0.9045614123344421,0.12339010014498103,5.35,4.138538389335056
gradient,500,1.0,0.0,0.9852631640434265,0.01713918546906957,0.6821929860115051,0.09562695066571833,0.6668421095609665,0.09829244071303901,0.65,1.82414363469547
